RANK,TOTAL,SFW_INDIVIDUAL,SFW_GROUP,NSFW_INDIVIDUAL,NSFW_GROUP,NSFW_PERCENT,CHARACTER,SERIE
526,2,2,0,0,0,0.0,tokoyami,mha
527,2,2,0,0,0,0.0,shiharaki,mha
528,2,2,0,0,0,0.0,mirio,mha
529,2,2,0,0,0,0.0,kaminari,mha
530,2,2,0,0,0,0.0,iida,mha
531,2,2,0,0,0,0.0,crawler,mha
532,2,2,0,0,0,0.0,nia,gurren-lagann
533,2,2,0,0,0,0.0,totoro,ghibli
534,2,2,0,0,0,0.0,ghibli,ghibli
535,2,2,0,0,0,0.0,eva00,evangelion
536,2,2,0,0,0,0.0,kaitou-kid,detective-conan
537,2,2,0,0,0,0.0,kessoku-band,bocchi
538,2,2,0,0,0,0.0,momo,avatar
539,2,2,0,0,0,0.0,yue,arifureta
540,2,2,0,0,0,0.0,armored-titan,aot
541,2,2,0,0,0,0.0,tatsumi,akame-ga-kill
542,2,2,0,0,0,0.0,sheele,akame-ga-kill
543,2,2,0,0,0,0.0,seryuu,akame-ga-kill
544,2,2,0,0,0,0.0,lubblock,akame-ga-kill
545,2,2,0,0,0,0.0,fuuki,aho-girl
546,2,1,0,1,0,50.0,mandalay,mha
547,2,1,0,1,0,50.0,black-widow,marvel
548,2,1,0,1,0,50.0,sayu,higehiro
549,2,1,0,1,0,50.0,terra,dc
550,2,1,1,0,0,0.0,tsukasa-eishi,shokugeki-no-souma
551,2,1,1,0,0,0.0,ryouko,shokugeki-no-souma
552,2,1,1,0,0,0.0,kuroko,railgun
553,2,1,1,0,0,0.0,pikachu,pokemon
554,2,1,1,0,0,0.0,heatran,pokemon
555,2,1,1,0,0,0.0,stray,noragami
556,2,1,1,0,0,0.0,igarashi,my-senpai-is-annoying
557,2,1,1,0,0,0.0,afo,mha
558,2,1,1,0,0,0.0,gyokuyou,kusuria-no-hitorigoto
559,2,1,1,0,0,0.0,ishigami,kaguya-sama
560,2,1,1,0,0,0.0,gurren-lagann,gurren-lagann
561,2,1,1,0,0,0.0,wrath,fma
562,2,1,1,0,0,0.0,shinichi,detective-conan
563,2,1,1,0,0,0.0,kogoro,detective-conan
564,2,1,1,0,0,0.0,conan,detective-conan
565,2,1,1,0,0,0.0,ai-haibara,detective-conan
566,2,1,1,0,0,0.0,ginti,death-parade
567,2,1,1,0,0,0.0,misa,death-note
568,2,1,1,0,0,0.0,harley-quinn,dc
569,2,1,1,0,0,0.0,yami,black-clover
570,2,1,1,0,0,0.0,sokka,avatar
571,2,1,0,0,1,50.0,yuuki,sao
572,2,0,0,2,0,100.0,tomo,tomo-chan
573,2,0,0,2,0,100.0,sohara,sora-no-otoshimono
574,2,0,0,2,0,100.0,gardenia,pokemon
575,2,0,0,2,0,100.0,emma,pokemon
576,2,0,0,2,0,100.0,canari,pokemon
577,2,0,0,2,0,100.0,brigitte,overwatch
578,2,0,0,2,0,100.0,solution-epsilon,overlord
579,2,0,0,2,0,100.0,narberal-gamma,overlord
580,2,0,0,2,0,100.0,shakky,one-piece
581,2,0,0,2,0,100.0,ishilly,one-piece
582,2,0,0,2,0,100.0,fuyumi,mha
583,2,0,0,2,0,100.0,mona,medaka-kuroiwa-is-impervious-to-my-charms
584,2,0,0,2,0,100.0,mantis,marvel
585,2,0,0,2,0,100.0,tsukinoki,makeine
586,2,0,0,2,0,100.0,jessica-rabbit,looney-tunes
587,2,0,0,2,0,100.0,meimei,kusuria-no-hitorigoto
588,2,0,0,2,0,100.0,joka,kusuria-no-hitorigoto
589,2,0,0,2,0,100.0,aylin,kusuria-no-hitorigoto
590,2,0,0,2,0,100.0,rumi,kpop-demon-hunters
591,2,0,0,2,0,100.0,konosuba-guild-receptionist,konosuba
592,2,0,0,2,0,100.0,wendy,gravity-falls
593,2,0,0,2,0,100.0,farm-girl,goblin-slayer
594,2,0,0,2,0,100.0,cheelai,dragon-ball
595,2,0,0,2,0,100.0,tinkerbell,disney
596,2,0,0,2,0,100.0,megara,disney
597,2,0,0,2,0,100.0,himari-azuma,chained-soldier
598,2,0,0,2,0,100.0,ginna,chained-soldier
599,2,0,0,2,0,100.0,restu,bleach
600,2,0,0,2,0,100.0,nanaba,aot
601,2,0,1,1,0,50.0,sakurai,my-senpai-is-annoying
602,2,0,1,1,0,50.0,loulan,kusuria-no-hitorigoto
603,2,0,1,1,0,50.0,catwoman,dc
604,2,0,1,1,0,50.0,mai-avatar,avatar
605,2,0,0,1,1,100.0,perrin,pokemon
606,2,0,0,1,1,100.0,psychos,one-punch
607,2,0,0,1,1,100.0,anko,naruto
608,2,0,0,1,1,100.0,korra,avatar
609,2,0,2,0,0,0.0,mipha,zelda
610,2,0,2,0,0,0.0,bond,spy-x-family
611,2,0,2,0,0,0.0,kurokiba,shokugeki-no-souma
612,2,0,2,0,0,0.0,yusuke-kitagawa,persona-5
613,2,0,2,0,0,0.0,ryuji-sakamoto,persona-5
614,2,0,2,0,0,0.0,haru-okumura,persona-5
615,2,0,2,0,0,0.0,rudeus,mushoku
616,2,0,2,0,0,0.0,ling-yao,fma
617,2,0,2,0,0,0.0,kaoru,evangelion
618,2,0,2,0,0,0.0,eiji,detective-conan
619,2,0,2,0,0,0.0,chiyuki,death-parade
620,2,0,2,0,0,0.0,yu,charlotte
621,2,0,2,0,0,0.0,trio,aot
622,2,0,2,0,0,0.0,aot,aot
623,2,0,2,0,0,0.0,re,akashic-record-of-bastard-magical
624,2,0,0,0,2,100.0,mio,tsukimichi
625,2,0,0,0,2,100.0,belle,pokemon
626,2,0,0,0,2,100.0,s,one-punch
627,2,0,0,0,2,100.0,do,one-punch
628,2,0,0,0,2,100.0,ragyou,kill-la-kill
629,2,0,0,0,2,100.0,chi,dragon-ball
630,2,0,0,0,2,100.0,powergirl,dc
631,2,0,0,0,2,100.0,fami,chainsaw-man
632,1,1,0,0,0,0.0,victorica,wandering-witch
633,1,1,0,0,0,0.0,erika,the-irregular-at-magic-high-school
634,1,1,0,0,0,0.0,souei,tensura
635,1,1,0,0,0,0.0,shizu,tensura
636,1,1,0,0,0,0.0,ranga,tensura
637,1,1,0,0,0,0.0,kurobee,tensura
638,1,1,0,0,0,0.0,hagoromo,tensura
639,1,1,0,0,0,0.0,gabiru,tensura
640,1,1,0,0,0,0.0,diablo,tensura
641,1,1,0,0,0,0.0,yoda,star-wars
642,1,1,0,0,0,0.0,vader,star-wars
643,1,1,0,0,0,0.0,maul,star-wars
644,1,1,0,0,0,0.0,kenobi,star-wars
645,1,1,0,0,0,0.0,boba-fett,star-wars
646,1,1,0,0,0,0.0,anakin,star-wars
647,1,1,0,0,0,0.0,loid,spy-x-family
648,1,1,0,0,0,0.0,fuwa,shimoneta
649,1,1,0,0,0,0.0,lisbeth,sao
650,1,1,0,0,0,0.0,kanazaki,railgun
651,1,1,0,0,0,0.0,istuki,quintessential
652,1,1,0,0,0,0.0,zygarde,pokemon
653,1,1,0,0,0,0.0,zoroark,pokemon
654,1,1,0,0,0,0.0,zacian,pokemon
655,1,1,0,0,0,0.0,yveltal,pokemon
656,1,1,0,0,0,0.0,wobbuffet,pokemon
657,1,1,0,0,0,0.0,weather-trio,pokemon
658,1,1,0,0,0,0.0,venusaur,pokemon
659,1,1,0,0,0,0.0,swordmasters,pokemon
660,1,1,0,0,0,0.0,snorlax,pokemon
661,1,1,0,0,0,0.0,sinistcha,pokemon
662,1,1,0,0,0,0.0,sharpedo,pokemon
663,1,1,0,0,0,0.0,salamance,pokemon
664,1,1,0,0,0,0.0,regis,pokemon
665,1,1,0,0,0,0.0,regigigas,pokemon
666,1,1,0,0,0,0.0,raichu,pokemon
667,1,1,0,0,0,0.0,pheromosa,pokemon
668,1,1,0,0,0,0.0,nidoqueen,pokemon
669,1,1,0,0,0,0.0,nidoking,pokemon
670,1,1,0,0,0,0.0,necrozma,pokemon
671,1,1,0,0,0,0.0,n,pokemon
672,1,1,0,0,0,0.0,miraidon,pokemon
673,1,1,0,0,0,0.0,mimikyu,pokemon
674,1,1,0,0,0,0.0,milotic,pokemon
675,1,1,0,0,0,0.0,mawile,pokemon
676,1,1,0,0,0,0.0,marowak,pokemon
677,1,1,0,0,0,0.0,mallow,pokemon
678,1,1,0,0,0,0.0,magearna,pokemon
679,1,1,0,0,0,0.0,lopunny,pokemon
680,1,1,0,0,0,0.0,life-trio,pokemon
681,1,1,0,0,0,0.0,legendary-birds,pokemon
682,1,1,0,0,0,0.0,legendary-beasts,pokemon
683,1,1,0,0,0,0.0,lake-guardians,pokemon
684,1,1,0,0,0,0.0,iron-moth,pokemon
685,1,1,0,0,0,0.0,incineroar,pokemon
686,1,1,0,0,0,0.0,giratina,pokemon
687,1,1,0,0,0,0.0,genies,pokemon
688,1,1,0,0,0,0.0,gardevoir,pokemon
689,1,1,0,0,0,0.0,froslass,pokemon
690,1,1,0,0,0,0.0,flygon,pokemon
691,1,1,0,0,0,0.0,dragon-trio,pokemon
692,1,1,0,0,0,0.0,dragonite,pokemon
693,1,1,0,0,0,0.0,dragapult,pokemon
694,1,1,0,0,0,0.0,dialga,pokemon
695,1,1,0,0,0,0.0,deoxis,pokemon
696,1,1,0,0,0,0.0,decidueye,pokemon
697,1,1,0,0,0,0.0,cyndaquil,pokemon
698,1,1,0,0,0,0.0,crobat,pokemon
699,1,1,0,0,0,0.0,creation-trio,pokemon
700,1,1,0,0,0,0.0,charizard,pokemon
701,1,1,0,0,0,0.0,chandelure,pokemon
702,1,1,0,0,0,0.0,ceruledge,pokemon
703,1,1,0,0,0,0.0,blissey,pokemon
704,1,1,0,0,0,0.0,blastoise,pokemon
705,1,1,0,0,0,0.0,beldum,pokemon
706,1,1,0,0,0,0.0,banette,pokemon
707,1,1,0,0,0,0.0,ash,pokemon
708,1,1,0,0,0,0.0,articuno,pokemon
709,1,1,0,0,0,0.0,arcanine,pokemon
710,1,1,0,0,0,0.0,alakazam,pokemon
711,1,1,0,0,0,0.0,aaron,pokemon
712,1,1,0,0,0,0.0,eiko,paripi-koumei
713,1,1,0,0,0,0.0,scama-elbero,overlord
714,1,1,0,0,0,0.0,momon,overlord
715,1,1,0,0,0,0.0,ok,one-punch
716,1,1,0,0,0,0.0,mumen-raider,one-punch
717,1,1,0,0,0,0.0,mosquito-girl,one-punch
718,1,1,0,0,0,0.0,metal-bat,one-punch
719,1,1,0,0,0,0.0,garo,one-punch
720,1,1,0,0,0,0.0,shanks,one-piece
721,1,1,0,0,0,0.0,sanji,one-piece
722,1,1,0,0,0,0.0,sabo,one-piece
723,1,1,0,0,0,0.0,marguerite,one-piece
724,1,1,0,0,0,0.0,marco,one-piece
725,1,1,0,0,0,0.0,koala,one-piece
726,1,1,0,0,0,0.0,kizaru,one-piece
727,1,1,0,0,0,0.0,carrot,one-piece
728,1,1,0,0,0,0.0,brook,one-piece
729,1,1,0,0,0,0.0,kofuku,noragami
730,1,1,0,0,0,0.0,hiyori,noragami
731,1,1,0,0,0,0.0,tet,no-game-no-life
732,1,1,0,0,0,0.0,miko,no-game-no-life
733,1,1,0,0,0,0.0,9s,nier
734,1,1,0,0,0,0.0,neji,naruto
735,1,1,0,0,0,0.0,rujerd,mushoku
736,1,1,0,0,0,0.0,uwabami,mha
737,1,1,0,0,0,0.0,tokage,mha
738,1,1,0,0,0,0.0,stain,mha
739,1,1,0,0,0,0.0,shiozaki,mha
740,1,1,0,0,0,0.0,shinso,mha
741,1,1,0,0,0,0.0,pony,mha
742,1,1,0,0,0,0.0,pixie-bob,mha
743,1,1,0,0,0,0.0,oguro,mha
744,1,1,0,0,0,0.0,miruko,mha
745,1,1,0,0,0,0.0,kurogiri,mha
746,1,1,0,0,0,0.0,kirishima,mha
747,1,1,0,0,0,0.0,hawks,mha
748,1,1,0,0,0,0.0,grand-torino,mha
749,1,1,0,0,0,0.0,gentle,mha
750,1,1,0,0,0,0.0,endeavor,mha
751,1,1,0,0,0,0.0,dabi,mha
752,1,1,0,0,0,0.0,best-jeanist,mha
753,1,1,0,0,0,0.0,rayne,mashle
754,1,1,0,0,0,0.0,thor,marvel
755,1,1,0,0,0,0.0,scarlet-witch,marvel
756,1,1,0,0,0,0.0,iron-man,marvel
757,1,1,0,0,0,0.0,captain-america,marvel
758,1,1,0,0,0,0.0,kill-la-kill-star,kill-la-kill
759,1,1,0,0,0,0.0,shinomiya,kaiju
760,1,1,0,0,0,0.0,john-wick,john-wick
761,1,1,0,0,0,0.0,kyouko,interview-with-monster-girls
762,1,1,0,0,0,0.0,ghost-in-the-shell,ghost-in-the-shell
763,1,1,0,0,0,0.0,ai-chan,getsutobu-no-tawawa
764,1,1,0,0,0,0.0,pincolada,gate
765,1,1,0,0,0,0.0,soul-of-cinder,from
766,1,1,0,0,0,0.0,ranni,from
767,1,1,0,0,0,0.0,radahn,from
768,1,1,0,0,0,0.0,artorias,from
769,1,1,0,0,0,0.0,huges,fma
770,1,1,0,0,0,0.0,ferrari,ferrari
771,1,1,0,0,0,0.0,ilya,fate
772,1,1,0,0,0,0.0,assassin,fate
773,1,1,0,0,0,0.0,sachiel,evangelion
774,1,1,0,0,0,0.0,nerv,evangelion
775,1,1,0,0,0,0.0,mass-production-eva,evangelion
776,1,1,0,0,0,0.0,suzuno-kamazuki,devil-part-timer
777,1,1,0,0,0,0.0,sasaki-chiho,devil-part-timer
778,1,1,0,0,0,0.0,superman,dc
779,1,1,0,0,0,0.0,dc-robin,dc
780,1,1,0,0,0,0.0,cyborg,dc
781,1,1,0,0,0,0.0,beast-boy,dc
782,1,1,0,0,0,0.0,sumirage,code-geass
783,1,1,0,0,0,0.0,warabi-hanasaka,busou-shoujo-machiavellianism
784,1,1,0,0,0,0.0,satori-tamaba,busou-shoujo-machiavellianism
785,1,1,0,0,0,0.0,mary-kikakujou,busou-shoujo-machiavellianism
786,1,1,0,0,0,0.0,inaba-tsukuyo,busou-shoujo-machiavellianism
787,1,1,0,0,0,0.0,nodoka,bunny-girl-senpai
788,1,1,0,0,0,0.0,kominami,bokuben
789,1,1,0,0,0,0.0,hiroi,bocchi
790,1,1,0,0,0,0.0,luck,black-clover
791,1,1,0,0,0,0.0,charmy,black-clover
792,1,1,0,0,0,0.0,black-bulls,black-clover
793,1,1,0,0,0,0.0,ubik,berserk
794,1,1,0,0,0,0.0,schierke,berserk
795,1,1,0,0,0,0.0,swordfish,bebop
796,1,1,0,0,0,0.0,suki,avatar
797,1,1,0,0,0,0.0,roku,avatar
798,1,1,0,0,0,0.0,iroh,avatar
799,1,1,0,0,0,0.0,nagumo,arifureta
800,1,1,0,0,0,0.0,jean,aot
801,1,1,0,0,0,0.0,erwin,aot
802,1,1,0,0,0,0.0,colossal-titan,aot
803,1,1,0,0,0,0.0,armin,aot
804,1,1,0,0,0,0.0,nightraid,akame-ga-kill
805,1,1,0,0,0,0.0,incursio,akame-ga-kill
806,1,1,0,0,0,0.0,yoshiko,aho-girl
807,1,1,0,0,0,0.0,sayakana,aho-girl
808,1,0,0,1,0,100.0,mei-valentine,yu-gi-oh
809,1,0,0,1,0,100.0,elfaria,wistoria
810,1,0,0,1,0,100.0,elastigirl,the-incredibles
811,1,0,0,1,0,100.0,kagali,tensura
812,1,0,0,1,0,100.0,elmesia,tensura
813,1,0,0,1,0,100.0,albis,tensura
814,1,0,0,1,0,100.0,filo,shield-hero
815,1,0,0,1,0,100.0,velma,scooby-doo
816,1,0,0,1,0,100.0,nao-toramaru,sakamoto-days
817,1,0,0,1,0,100.0,sailor-moon,sailor-moon
818,1,0,0,1,0,100.0,maaya,railgun
819,1,0,0,1,0,100.0,kongou,railgun
820,1,0,0,1,0,100.0,kinuho,railgun
821,1,0,0,1,0,100.0,winona,pokemon
822,1,0,0,1,0,100.0,viola,pokemon
823,1,0,0,1,0,100.0,roxanne,pokemon
824,1,0,0,1,0,100.0,marnie,pokemon
825,1,0,0,1,0,100.0,lida,pokemon
826,1,0,0,1,0,100.0,geeta,pokemon
827,1,0,0,1,0,100.0,flannery,pokemon
828,1,0,0,1,0,100.0,courtney,pokemon
829,1,0,0,1,0,100.0,clair,pokemon
830,1,0,0,1,0,100.0,pharah,overwatch
831,1,0,0,1,0,100.0,lupus-regina-beta,overlord
832,1,0,0,1,0,100.0,satomi-tachibana,onegai-muscle
833,1,0,0,1,0,100.0,bayonetta,nintendo
834,1,0,0,1,0,100.0,makoto-tsukauchi,mha
835,1,0,0,1,0,100.0,hachisuka,mha
836,1,0,0,1,0,100.0,mary-jane-watson,marvel
837,1,0,0,1,0,100.0,yuki-yoshikawa,horimiya
838,1,0,0,1,0,100.0,melina,from
839,1,0,0,1,0,100.0,matou-sakura,fate
840,1,0,0,1,0,100.0,princess-hisui,fairy-tail
841,1,0,0,1,0,100.0,jenny,fairy-tail
842,1,0,0,1,0,100.0,aquarius,fairy-tail
843,1,0,0,1,0,100.0,yasaka,dxd
844,1,0,0,1,0,100.0,ravel,dxd
845,1,0,0,1,0,100.0,kefla,dragon-ball
846,1,0,0,1,0,100.0,kale,dragon-ball
847,1,0,0,1,0,100.0,princess-belle,disney
848,1,0,0,1,0,100.0,jasmine,disney
849,1,0,0,1,0,100.0,black-canary,dc
850,1,0,0,1,0,100.0,batgirl,dc
851,1,0,0,1,0,100.0,rakshata,code-geass
852,1,0,0,1,0,100.0,retsu,bleach
853,1,0,0,1,0,100.0,nemu,bleach
854,1,0,0,1,0,100.0,lynette,bleach
855,1,0,0,1,0,100.0,lolopechka,black-clover
856,1,0,0,1,0,100.0,asami,avatar
857,1,0,0,1,0,100.0,re-l,akashic-record-of-bastard-magical
858,1,0,1,0,0,0.0,urbosa,zelda
859,1,0,1,0,0,0.0,revali,zelda
860,1,0,1,0,0,0.0,daruk,zelda
861,1,0,1,0,0,0.0,yusaku-kitamura,toradora
862,1,0,1,0,0,0.0,minori-kushieda,toradora
863,1,0,1,0,0,0.0,nasa,tonikawa
864,1,0,1,0,0,0.0,zenji-marui,shokugeki-no-souma
865,1,0,1,0,0,0.0,yuki-yoshino,shokugeki-no-souma
866,1,0,1,0,0,0.0,terunori-kuga,shokugeki-no-souma
867,1,0,1,0,0,0.0,takumi-aldini,shokugeki-no-souma
868,1,0,1,0,0,0.0,shun-ibusaki,shokugeki-no-souma
869,1,0,1,0,0,0.0,saiba-joichiro,shokugeki-no-souma
870,1,0,1,0,0,0.0,kojiro-shinomiya,shokugeki-no-souma
871,1,0,1,0,0,0.0,isshiki,shokugeki-no-souma
872,1,0,1,0,0,0.0,isami-aldini,shokugeki-no-souma
873,1,0,1,0,0,0.0,index,railgun
874,1,0,1,0,0,0.0,solgaleo,pokemon
875,1,0,1,0,0,0.0,mew,pokemon
876,1,0,1,0,0,0.0,lunala,pokemon
877,1,0,1,0,0,0.0,lugia,pokemon
878,1,0,1,0,0,0.0,latias,pokemon
879,1,0,1,0,0,0.0,ho-oh,pokemon
880,1,0,1,0,0,0.0,eevee,pokemon
881,1,0,1,0,0,0.0,cresselia,pokemon
882,1,0,1,0,0,0.0,morgana,persona-5
883,1,0,1,0,0,0.0,goro-akechi,persona-5
884,1,0,1,0,0,0.0,hachiman,oregairu
885,1,0,1,0,0,0.0,raku,nisekoi
886,1,0,1,0,0,0.0,shikamaru,naruto
887,1,0,1,0,0,0.0,senpai,nagatoro
888,1,0,1,0,0,0.0,takeda,my-senpai-is-annoying
889,1,0,1,0,0,0.0,kazama,my-senpai-is-annoying
890,1,0,1,0,0,0.0,norn,mushoku
891,1,0,1,0,0,0.0,ami,megami-no-cafe-terrace
892,1,0,1,0,0,0.0,lishu,kusuria-no-hitorigoto
893,1,0,1,0,0,0.0,lakan,kusuria-no-hitorigoto
894,1,0,1,0,0,0.0,gaoshun,kusuria-no-hitorigoto
895,1,0,1,0,0,0.0,aduo,kusuria-no-hitorigoto
896,1,0,1,0,0,0.0,tadano,komi-san
897,1,0,1,0,0,0.0,osana-najimi,komi-san
898,1,0,1,0,0,0.0,miko-iino,kaguya-sama
899,1,0,1,0,0,0.0,yuki-kusakabe,interview-with-monster-girls
900,1,0,1,0,0,0.0,tetsuo-takahashi,interview-with-monster-girls
901,1,0,1,0,0,0.0,kyoyko,interview-with-monster-girls
902,1,0,1,0,0,0.0,himari-takahashi,interview-with-monster-girls
903,1,0,1,0,0,0.0,hikari-takahashi,interview-with-monster-girls
904,1,0,1,0,0,0.0,kyon,harui-suzumiya
905,1,0,1,0,0,0.0,itami,gate
906,1,0,1,0,0,0.0,sein,frieren
907,1,0,1,0,0,0.0,heiter,frieren
908,1,0,1,0,0,0.0,eisen,frieren
909,1,0,1,0,0,0.0,van-hohenheim,fma
910,1,0,1,0,0,0.0,sloth,fma
911,1,0,1,0,0,0.0,pride,fma
912,1,0,1,0,0,0.0,lan-fan,fma
913,1,0,1,0,0,0.0,gluttony,fma
914,1,0,1,0,0,0.0,father,fma
915,1,0,1,0,0,0.0,envy,fma
916,1,0,1,0,0,0.0,archer,fate
917,1,0,1,0,0,0.0,gray,fairy-tail
918,1,0,1,0,0,0.0,issei,dxd
919,1,0,1,0,0,0.0,suika,dr-stone
920,1,0,1,0,0,0.0,kaseki,dr-stone
921,1,0,1,0,0,0.0,chrome,dr-stone
922,1,0,1,0,0,0.0,gojo,dress-up-darling
923,1,0,1,0,0,0.0,ran-mori,detective-conan
924,1,0,1,0,0,0.0,mitsuhiko,detective-conan
925,1,0,1,0,0,0.0,kazuha,detective-conan
926,1,0,1,0,0,0.0,genta,detective-conan
927,1,0,1,0,0,0.0,ayumi,detective-conan
928,1,0,1,0,0,0.0,agasa,detective-conan
929,1,0,1,0,0,0.0,quin,death-parade
930,1,0,1,0,0,0.0,oculus,death-parade
931,1,0,1,0,0,0.0,ivy,dc
932,1,0,1,0,0,0.0,lefiya,danmachi
933,1,0,1,0,0,0.0,hideri-kanazaki,blend-s
934,1,0,1,0,0,0.0,dino,blend-s
935,1,0,1,0,0,0.0,akizuki,blend-s
936,1,0,1,0,0,0.0,leopold,black-clover
937,1,0,1,0,0,0.0,avatar,avatar
938,1,0,1,0,0,0.0,ymir,aot
939,1,0,1,0,0,0.0,carla,aot
940,1,0,1,0,0,0.0,kuze,alya
941,1,0,0,0,1,100.0,yuna,sao
942,1,0,0,0,1,100.0,rika,pokemon
943,1,0,0,0,1,100.0,lana,pokemon
944,1,0,0,0,1,100.0,ruby,oshi-no-ko
945,1,0,0,0,1,100.0,palutena,nintendo
946,1,0,0,0,1,100.0,nana-shimura,mha
947,1,0,0,0,1,100.0,lemon,makeine
948,1,0,0,0,1,100.0,succubus,konosuba
949,1,0,0,0,1,100.0,moeha,kaguya-sama
950,1,0,0,0,1,100.0,dupli-kate,invincible
951,1,0,0,0,1,100.0,maron,dragon-ball
952,1,0,0,0,1,100.0,tione,danmachi
953,1,0,0,0,1,100.0,tiona,danmachi
